,time,mu,var,MAE
gp,208.81843140001,"[14.18200127 14.65288232 14.80204339 ... 20.65353752 20.95701565
 21.18927092]",[0.         0.         0.         ... 0.1113461  0.14086947 0.11648995],0.24292854803707797
sgp_10,1159.1962987000006,"[14.18200127 14.65288232 14.80204339 ... 20.65347728 20.95695105
 21.10685518]",[0.         0.         0.         ... 0.11145446 0.14081427 0.11458786],0.2541898956135818
sgp_20,914.1253541999904,"[14.18200127 14.65288232 14.80204339 ... 20.65439129 20.95745417
 21.10447041]",[0.         0.         0.         ... 0.11135615 0.14080893 0.11459182],0.24007858532302517
sgp_30,730.8816247000068,"[14.18200127 14.65288232 14.80204339 ... 20.65353622 22.05140673
 21.18930919]",[0.         0.         0.         ... 0.11134622 0.37734525 0.11665959],0.2416879133727356
