,time,mu,var,MAE
gp,195.59089819999645,"[ 3.73811979  3.91247596  4.23628029 ... 17.61899912 17.71193686
 18.03545503]",[0.         0.         0.         ... 0.26063709 0.2451534  0.29507197],0.21651359712581217
sgp_10,1040.7474722000043,"[ 3.73811979  3.91247596  4.23628029 ... 17.5916668  17.67836861
 17.78897204]",[0.         0.         0.         ... 0.25998311 0.24597584 0.25744695],0.21636155159174716
sgp_20,854.9982672000042,"[ 3.73811979  3.91247596  4.23628029 ... 17.61062011 17.67836853
 17.72929214]",[0.         0.         0.         ... 0.2607689  0.24597583 0.24585759],0.20432487179957806
sgp_30,665.4886270999996,"[ 3.73811979  3.91247596  4.23628029 ... 17.63759446 17.6783698
 18.16432491]",[0.         0.         0.         ... 0.25707538 0.24597454 0.34456766],0.21169693092442482
